Time (s),FPS,CPU Usage (%) (MainThreadTime),Total Allocated Memory (MB),Reserved Memory (MB),Mono Memory (MB)
10.00,93.43,100.00,583.42,968.54,703.12
20.01,8.94,11.74,589.65,980.54,653.50
30.02,10.38,12.59,590.29,980.54,672.42
40.11,8.16,12.33,589.50,980.54,688.12
50.15,10.58,12.61,590.89,980.54,702.63
61.93,1.83,42.67,589.90,980.54,648.43
72.01,11.28,12.94,589.91,980.54,659.26
82.05,10.77,11.50,590.44,980.54,666.73
92.06,107.94,100.00,590.41,980.54,676.28
102.08,11.81,11.29,591.50,980.54,683.73
112.08,8.09,8.63,592.54,980.54,690.09
122.36,3.64,83.92,591.48,980.54,647.25
132.39,10.92,10.47,591.49,980.54,653.91
142.44,11.12,9.83,591.52,980.54,660.99
152.46,9.99,10.02,591.52,980.54,667.52
162.49,6.28,9.57,591.54,980.54,673.89
172.55,10.12,9.58,593.63,980.54,680.57
182.61,3.47,9.13,593.60,980.54,647.34
192.63,8.38,9.94,593.60,980.54,654.70
202.64,24.82,28.56,594.68,980.54,663.46
212.65,89.42,100.00,594.77,980.54,672.25
222.66,74.88,100.00,598.66,988.54,681.13
232.67,102.74,82.46,598.50,988.54,698.93
242.67,300.79,100.00,601.70,996.54,646.39
252.79,5.96,17.62,610.61,996.55,664.52
262.84,2.95,9.30,610.96,996.55,668.94
272.91,2.38,11.48,611.38,996.55,674.24
282.92,2.84,9.06,612.29,996.55,679.69
293.04,6.88,9.07,607.27,996.55,685.52
303.06,1.77,4.99,608.23,996.55,657.56
313.10,5.42,11.04,608.37,996.55,663.31
323.12,5.53,8.52,607.22,996.55,669.25
333.23,6.43,8.87,608.23,996.55,674.28
343.29,6.49,9.10,607.24,996.55,680.32
353.34,6.21,9.05,607.26,996.55,686.10
363.49,1.29,1.86,607.24,996.55,657.75
373.55,6.58,9.07,607.25,996.55,662.57
383.56,6.57,9.04,607.25,996.55,669.30
393.67,6.52,9.37,607.30,996.55,676.70
403.80,6.59,9.19,607.31,996.55,682.98
413.94,6.43,8.91,607.31,996.55,689.53
423.97,1.02,1.45,608.29,996.55,658.37
433.97,6.49,9.02,607.31,996.55,664.79
444.06,6.49,8.92,608.46,996.55,669.34
454.09,6.38,8.86,608.33,996.55,675.64
464.14,6.16,8.68,607.31,996.55,681.19
474.27,6.30,8.45,607.31,996.55,686.07
484.31,5.51,7.57,608.31,996.55,658.19
494.32,6.83,9.84,607.30,996.55,662.81
504.38,6.81,9.25,608.28,996.55,668.04
514.41,6.98,9.41,607.30,996.55,673.23
524.51,6.18,9.94,607.30,996.55,679.66
534.56,7.19,9.02,608.33,996.55,684.24
544.67,5.54,7.31,608.34,996.55,657.97
554.80,6.90,9.06,607.30,996.55,663.43
564.94,6.92,9.15,608.30,996.55,669.59
575.05,6.87,8.92,607.32,996.55,676.79
585.12,6.79,8.66,608.35,996.55,683.57
595.13,6.85,8.91,607.45,996.55,689.35
605.28,6.60,9.07,607.44,996.55,658.85
615.39,6.78,9.32,607.45,996.55,664.04
625.46,6.88,8.90,607.46,996.55,670.45
635.55,6.95,9.05,607.47,996.55,677.46
645.62,6.93,8.88,607.47,996.55,683.23
655.68,6.96,9.42,607.48,996.55,689.62
665.78,6.75,8.90,607.46,996.55,660.09
675.80,6.94,9.12,607.46,996.55,666.74
685.80,7.01,9.35,608.64,996.55,672.59
695.84,6.98,9.13,607.47,996.55,678.36
705.94,6.48,8.46,607.48,996.55,684.45
715.95,6.84,8.77,607.48,996.55,690.17
725.97,7.06,8.96,607.45,996.55,659.20
736.03,7.13,8.85,608.44,996.55,663.29
746.12,7.05,8.97,607.47,996.55,668.26
756.20,7.09,8.93,607.47,996.55,673.00
766.34,6.70,9.13,608.68,996.55,677.28
776.44,6.97,9.47,607.53,996.55,683.70
786.45,7.14,9.09,607.52,996.55,658.93
796.54,7.04,9.15,607.57,996.55,665.44
